Date,Reference,Description,Amount
2026-09-01,INV-1001,TechNova Solutions,15000.00
2026-09-02,INV-1002,Office Supplies Direct,-2450.00
2026-09-05,INV-1003,Apex Logistics,8500.00
2026-09-08,INV-1004,Cloud Hosting AWS,-4100.00
2026-09-10,INV-1005,Consulting Retainer,12000.00
2026-09-10,INV-1006,Payroll Run,-25000.00 
2026-09-11,INV-1007,Vodacom Corporate,-1200.00
2026-09-12,INV-1008,Client Deposit A. Smith,50000.00
2026-09-14,INV-1009,Mimecast Security,-850.00
2026-09-15,INV-1010,Wealth Management Fees,32000.00
2026-09-16,INV-1011,SARS Provisional Tax,-15000.00
2026-09-18,INV-1012,Legal Counsel Retainer,-5000.00
2026-09-20,INV-1013,Client Dividend Payout,-12500.00
2026-09-21,INV-1014,Property Rent,-8000.00
2026-09-25,INV-1015,Corporate Catering,-1500.00
2026-09-28,INV-1016,Year-end Bonus Pool,-45000.00
